product_name,product_src_image,product_price_new,product_price_old
Smart Tivi Sony 4K 55 inch KD-55A80K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/m/smart-tivi-sony-4k-50-inch-kd-50x80k-1_1.jpg",25.200.000 ₫,0
Smart Tivi Samsung QLED 55 inch 55Q70BAK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/q/a/qa65q70bakxxv_001_front1_black_3.png",25.900.000 ₫,0
Smart Tivi Khung Tranh The Frame 4K Samsung LTV 75 inch 75LS03BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/k/q/kq75lsb03afxkr_003_front3_black.png",57.900.000 ₫,0
Smart Tivi Khung Tranh The Frame 4K Samsung LTV 43 inch 43LS03BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/k/q/kq75lsb03afxkr_003_front3_black_3.png",24.900.000 ₫,0
Smart TV Samsung Crystal UHD 43 inch 43BU8000,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/i/tivi_4k_samsung_50_inch_-_6.jpg",13.900.000 ₫,0
Smart Tivi Khung Tranh The Frame 4K Samsung LTV 85 inch 85LS03BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/k/q/kq75lsb03afxkr_003_front3_black_5.png",84.900.000 ₫,0
Smart TV Samsung Neo QLED 4K 98 inch 98QN90AA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/5/15_3_63.jpg",229.900.000 ₫,0
Smart TV Samsung NEO QLED 8K 65 inch 65QN700B,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/2/5/25_1_52.jpg",74.900.000 ₫,0
Smart TV Samsung 4K UHD 43 INCH UA43AU7000KXXV,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/u/n/untitled-1_0003_vn-uhd-au7000-ua43au7000kxxv-408.jpg",13.900.000 ₫,0
Smart Tivi Samsung UHD 4K 65 INCH 65AU7700,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/u/n/untitled-1_0004_10049953-smart-tivi-samsung-4k-6.jpg",26.900.000 ₫,0
Smart Tivi Samsung Crystal UHD 4K 50 INCH UA50AU8000KXXV,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/_/0/_0000_10048773-smart-tivi-samsung-crys.jpg",18.900.000 ₫,0
Smart Tivi Xiaomi A2G 86 inch,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/_/t_i_xu_ng_49_.png",29.990.000 ₫,0
